pageid,title,name
513960,Lecia Jønsson,Lecia Jønsson
13227,Flemming Bamse Jørgensen,Flemming Bamse Jørgensen
40617,Jimmy Jørgensen,Jimmy Jørgensen
87063,Johnny Jørgensen,Johnny Jørgensen
1047624,Jørgen Hein Jørgensen,Jørgen Hein Jørgensen
177670,Jørgen Wenndorf Jørgensen,Jørgen Wenndorf Jørgensen
1128636,Peter Lindeman Jørgensen,Peter Lindeman Jørgensen
158815,Steen Jørgensen (sanger),Steen Jørgensen
537152,Karina Kappel,Karina Kappel
55595,Lone Kellermann,Lone Kellermann
486346,Marie Key,Marie Key
56303,King Diamond,King Diamond
53835,Birthe Kjær,Birthe Kjær
261191,Laura Arensbak Kjærgaard,Laura Arensbak Kjærgaard
994269,Kristian Kjærlund,Kristian Kjærlund
29634,Povl Kjøller,Povl Kjøller
140204,Ida Klemann,Ida Klemann
284176,Annette Klingenberg,Annette Klingenberg
637532,Grete Klitgaard,Grete Klitgaard
428367,Jørgen Klubien,Jørgen Klubien
345546,Hans Christian Knudsen,Hans Christian Knudsen
821125,Anthon Edwards Knudtzon,Anthon Edwards Knudtzon
119353,Dorthe Kollo,Dorthe Kollo
972901,Michael Kolster,Michael Kolster
304191,Mattias Kolstrup,Mattias Kolstrup
93158,Annisette Koppel,Annisette Koppel
196673,Billie Koppel,Billie Koppel
134609,Marie Carmen Koppel,Marie Carmen Koppel
51436,Søren Kragh-Jacobsen,Søren Kragh-Jacobsen
946475,Michael Kratz,Michael Kratz
697052,Stig Kreutzfeldt,Stig Kreutzfeldt
912969,Sebastian T.W. Kristiansen,Sebastian T.W. Kristiansen
428892,Stine Kronborg,Stine Kronborg
96146,Simon Kvamm,Simon Kvamm
426536,Stefan Kvamm,Stefan Kvamm
287728,Morten Kærså,Morten Kærså
1081243,Mette Ladekarl,Mette Ladekarl
958667,Alma Lagoni,Alma Lagoni
94837,Susanne Lana,Susanne Lana
996006,Hjalmer Larsen,Hjalmer Larsen
31493,Kim Larsen,Kim Larsen
288332,Lars Oluf Larsen,Lars Oluf Larsen
561586,Line Larsen,Line Larsen
1084329,Mona Larsen,Mona Larsen
964150,Benjamin Lasnier,Benjamin Lasnier
191606,Randi Laubek,Randi Laubek
1165787,Ida Laurberg,Ida Laurberg
888453,Frank Lauridsen,Frank Lauridsen
330002,Jeppe Laursen,Jeppe Laursen
258472,Zindy Laursen,Zindy Laursen
1022273,Cathrine Legardh,Cathrine Legardh
265243,Jesper Winge Leisner,Jesper Winge Leisner
303409,Jonas Winge Leisner,Jonas Winge Leisner
149066,Ellen Winther Lembourn,Ellen Winther Lembourn
496055,Torben Lendager,Torben Lendager
1002530,Kenn Lending,Kenn Lending
514909,Anita Lerche,Anita Lerche
490842,Hans-Henrik Ley,Hans-Henrik Ley
825776,Rikke Lie,Rikke Lie
787485,Yrsa Liisberg,Yrsa Liisberg
53521,Lars Lilholt,Lars Lilholt
3586,Bjarne Liller,Bjarne Liller
183310,Caroline Lind,Caroline Lind
849683,Mette Lindberg,Mette Lindberg
1061996,Solveig Lindelof,Solveig Lindelof
413376,Lasse Lindorff,Lasse Lindorff
415727,Mark Linn,Mark Linn
15212,Anne Linnet,Anne Linnet
15203,Bjarne Lisby,Bjarne Lisby
395302,Lucy Little,Lucy Little
864026,Kwamie Liv,Kwamie Liv
212935,Martin Loft,Martin Loft
928575,Jeppe Loftager,Jeppe Loftager
277844,Lise Lotte Lohmann,Lise Lotte Lohmann
179047,Louise Lolle,Louise Lolle
644471,Shaka Loveless,Shaka Loveless
751559,Kristian Luc,Kristian Luc
350012,Maria Lucia Rosenberg,Maria Lucia Rosenberg
997590,Christian Lund (skuespiller),Christian Lund
464010,Orla Lund,Orla Lund
464012,Rut Emilie Lund,Rut Emilie Lund
41197,Tom Lundén,Tom Lundén
419972,Jesper Lundgaard,Jesper Lundgaard
198926,Kenny Lübcke,Kenny Lübcke
1001670,Lydmor,Lydmor
106088,Birgit Lystager,Birgit Lystager
1138004,Ina Løndahl,Ina Løndahl
1093168,Maddy,Maddy
565482,Ida Østergaard Madsen,Ida Østergaard Madsen
211125,Ibi Makienok,Ibi Makienok
555457,Nadia Malm,Nadia Malm
984328,Miriam Mandipira,Miriam Mandipira
962336,Esther Maria,Esther Maria
404125,Julie Maria,Julie Maria
256882,Martin (sanger),Martin
141129,Master Fatman,Master Fatman
182698,Rebekka Mathew,Rebekka Mathew
249590,Simon Mathew,Simon Mathew
233848,Medina (sanger),Medina
546572,Frank Megabody,Frank Megabody
1075553,Mekdes,Mekdes
471682,Christina Ibsen Meyer,Christina Ibsen Meyer
119569,Anne Dorte Michelsen,Anne Dorte Michelsen
967082,Milbo,Milbo
977137,Aneela Mirza,Aneela Mirza
459970,Sextus Miskow,Sextus Miskow
709787,Miss Florens,Miss Florens
233829,Laura Mo,Laura Mo
460185,Benna Moe,Benna Moe
246045,Joey Moe,Joey Moe
48870,John Mogensen,John Mogensen
501900,Mohamed Ali (sanger),Mohamed Ali
1086836,Mads Moldt,Mads Moldt
435397,Barbara Moleko,Barbara Moleko
999097,Peter Molzen,Peter Molzen
174152,Monique,Monique
106136,Maria Montell,Maria Montell
419323,Bobo Moreno,Bobo Moreno
1129358,Joy Morgan,Joy Morgan
434994,Allan Mortensen,Allan Mortensen
24412,Malene Mortensen,Malene Mortensen
1018224,Veronica Mortensen,Veronica Mortensen
514564,Manja Mourier,Manja Mourier
1053948,Katrine Muff Enevoldsen,Katrine Muff Enevoldsen
230235,Lars Muhl,Lars Muhl
294485,Karen Mukupa,Karen Mukupa
1144271,Mumle,Mumle
281842,Michael Møller (musiker),Michael Møller
756219,Roland Møller,Roland Møller
140551,Stig Møller,Stig Møller
404337,Nabiha,Nabiha
190450,Natasja,Natasja
767458,Franciska Nathansen,Franciska Nathansen
324170,Gitte Naur,Gitte Naur
946627,Lise Nees,Lise Nees
64864,Gerda Neumann,Gerda Neumann
66924,Ulrik Neumann,Ulrik Neumann
417989,Tomas N'evergreen,Tomas N'evergreen
856222,Stephanie Nguyen,Stephanie Nguyen
29119,Amanda Nielsen,Amanda Nielsen
557962,CS Nielsen,CS Nielsen
119760,Elisabeth Gjerluff Nielsen,Elisabeth Gjerluff Nielsen
328776,Inge-Marie Nielsen,Inge-Marie Nielsen
81047,Peter A.G. Nielsen,Peter A.G. Nielsen
482015,Sebastian Øberg Nielsen,Sebastian Øberg Nielsen
521427,Bjarke Niemann,Bjarke Niemann
914268,Anja Nissen,Anja Nissen
210693,Toke Nisted,Toke Nisted
489822,Anne Noa,Anne Noa
646821,Noah (duo),Noah
548979,Jesper Nohrstedt,Jesper Nohrstedt
142675,Cæcilie Norby,Cæcilie Norby
891548,Louise Norby,Louise Norby
439446,Channe Nussbaum,Channe Nussbaum
781656,Johannes Nymark,Johannes Nymark
98103,Rasmus Nøhr,Rasmus Nøhr
120539,Jon Nørgaard,Jon Nørgaard
920341,Morten Nørgaard (sanger),Morten Nørgaard
705956,Coco O.,Coco O.
1044153,Andreas Odbjerg,Andreas Odbjerg
921818,Flora Ofelia,Flora Ofelia
405762,Oh Land,Oh Land
236787,Morten Okbo,Morten Okbo
118461,Johan Olsen,Johan Olsen
346697,Jørgen Olsen (musiker),Jørgen Olsen
467940,Niels Olsen (musiker),Niels Olsen
968729,Simon Olsen (sanger),Simon Olsen
201502,FS Orlonn,FS Orlonn
976083,Alexander Oscar,Alexander Oscar
492951,Tania Ovesen,Tania Ovesen
710592,Emilie Paevatalu,Emilie Paevatalu
469509,Frederik van Pallandt,Frederik van Pallandt
769139,Nina van Pallandt,Nina van Pallandt
923978,Chili Pedersen,Chili Pedersen
287731,Ivan Pedersen,Ivan Pedersen
861163,Andrea Pellegrini,Andrea Pellegrini
998797,David Pepke,David Pepke
233728,Brett Perkins,Brett Perkins
942845,Carl Emil Petersen,Carl Emil Petersen
241340,Niclas Petersen,Niclas Petersen
202068,Tommy Petersen,Tommy Petersen
124006,Pharfar,Pharfar
921821,Emma Pi,Emma Pi
53925,Ulla Pia,Ulla Pia
1131237,Pil (sanger),Pil
147580,Jytte Pilloni,Jytte Pilloni
1135747,Elvira Pitzner,Elvira Pitzner
449152,Søren Poppe,Søren Poppe
200820,Freddy Poulsen,Freddy Poulsen
364501,Lone Poulsen,Lone Poulsen
231526,Michael Poulsen,Michael Poulsen
109500,Erik Paaske,Erik Paaske
231252,Waqas Ali Qadri,Waqas Ali Qadri
513166,Malene Qvist,Malene Qvist
119647,Lina Rafn,Lina Rafn
307854,Richard Ragnvald,Richard Ragnvald
715769,Kristoffer Rahbek,Kristoffer Rahbek
958096,Jesper Ranum,Jesper Ranum
955168,Rasmussen (sanger),Rasmussen
1003036,Ida Cæcilie Rasmussen,Ida Cæcilie Rasmussen
225515,James Rasmussen,James Rasmussen
157662,Miriam Jul Rasmussen,Miriam Jul Rasmussen
126778,Rie Rasmussen,Rie Rasmussen
99094,Søren Rasted,Søren Rasted
97159,Raquel Rastenni,Raquel Rastenni
191615,Pia Raug,Pia Raug
6350,Kurt Ravn,Kurt Ravn
405780,RebekkaMaria,RebekkaMaria
309033,Celina Ree,Celina Ree
873407,Reem,Reem
106060,Lise Reinau,Lise Reinau
252805,Morten Remar,Morten Remar
251611,Remee,Remee
1142975,Michael Rexen,Michael Rexen
1003490,Soho Rezanejad,Soho Rezanejad
417485,Kahlil Rhodes,Kahlil Rhodes
101098,Bryan Rice,Bryan Rice
485051,Jascha Richter,Jascha Richter
1145388,Riyah,Riyah
546156,Rock Nalle,Rock Nalle
759643,Andy Roda,Andy Roda
141343,Leif Roden,Leif Roden
776569,Charlotte Roel,Charlotte Roel
450612,Naja Rosa,Naja Rosa
415764,Tamra Rosanes,Tamra Rosanes
396600,Karen Rosenberg,Karen Rosenberg
1021638,Benjamin Rosenbohm,Benjamin Rosenbohm
98831,Pernille Rosendahl,Pernille Rosendahl
450610,Emma Acs,Emma Acs
1022156,Grethe Agatz,Grethe Agatz
1077229,Jacob Aksglæde,Jacob Aksglæde
952460,Andrea Rebekka Alsted,Andrea Rebekka Alsted
1136164,Ole Alstrup,Ole Alstrup
158787,Benny E. Andersen,Benny E. Andersen
174840,Hakon Andersen,Hakon Andersen
975798,Torben Andersen (musiker),Torben Andersen
479438,Ayoe Angelica,Ayoe Angelica
445142,Flemming Antony,Flemming Antony
538280,Arian,Arian
1045445,Kjartan Arngrim,Kjartan Arngrim
1055236,Simon Ask,Simon Ask
431632,Claus Asmussen,Claus Asmussen
404280,Kenneth Bager,Kenneth Bager
722701,Mogens Balle (musiker),Mogens Balle
497599,Søren Balsner,Søren Balsner
179571,Wilhelm Herman Barth,Wilhelm Herman Barth
1056682,Mathæus Bech,Mathæus Bech
167857,Claus Beck-Nielsen,Claus Beck-Nielsen
453844,Githa Ben-David,Githa Ben-David
879070,Thomas Bertelsen,Thomas Bertelsen
251225,Anders Beyer,Anders Beyer
83370,Pedro Biker,Pedro Biker
228489,Peter Biker,Peter Biker
201876,Tom Bilde,Tom Bilde
1036470,Bindu,Bindu
619348,August Wilhelm Binneweitz,August Wilhelm Binneweitz
277707,Jesper Binzer,Jesper Binzer
659764,Bisse,Bisse
167972,Sanne Bjerg,Sanne Bjerg
105902,Jonas Bjerre (sanger),Jonas Bjerre
893094,Ditlev Trappo Saugmann Bjerregaard,Ditlev Trappo Saugmann Bjerregaard
880476,Bjonko,Bjonko
277668,Kasper Bjørke,Kasper Bjørke
436983,Jens Bjørnkjær,Jens Bjørnkjær
418181,Peter Bjørnskov,Peter Bjørnskov
439093,Sofie Bonde,Sofie Bonde
1047091,Elias Boussnina,Elias Boussnina
91172,Otto Brandenburg,Otto Brandenburg
489461,Peter Brander,Peter Brander
86749,Steffen Brandt,Steffen Brandt
203031,Frederik Christian Breitendich,Frederik Christian Breitendich
554491,Henning Toft Bro,Henning Toft Bro
999183,Michael Bruun (musiker),Michael Bruun
1048637,Frida Brygmann,Frida Brygmann
36263,Martin Brygmann,Martin Brygmann
113926,Blæs Bukki,Blæs Bukki
324794,Thomas Buttenschøn,Thomas Buttenschøn
707909,Jens Bækkelund,Jens Bækkelund
1016514,Nis Bøgvad,Nis Bøgvad
661200,CallmeKat,CallmeKat
201197,Camillo Carlsen,Camillo Carlsen
1072595,Erika de Casier,Erika de Casier
172121,Christian Jon Cherry,Christian Jon Cherry
362210,Chief 1,Chief 1
306012,Søren Christensen (jazz-violinist),Søren Christensen
378286,Steen Christiansen (musiker),Steen Christiansen
833303,Frederik Cilius,Frederik Cilius
930102,Jonas Colstrup,Jonas Colstrup
910079,Jonas Dahl (musiker),Jonas Dahl
541655,Hans Dal,Hans Dal
547122,Hans Dammeyer,Hans Dammeyer
240359,Morten Skovgaard Danielsen,Morten Skovgaard Danielsen
404714,Lars Danielsson (dansk bassist),Lars Danielsson
110802,Anna David,Anna David
112147,Dicte (sanger),Dicte
146529,Eskild Dohn,Eskild Dohn
647633,Tom Donovan,Tom Donovan
1157440,Beinir (musiker),Beinir
1147375,Dopha,Dopha
412575,Dennis Drud,Dennis Drud
902935,Albert Dyrlund,Albert Dyrlund
687669,Torben Eilersen,Torben Eilersen
115137,Thomas Eje,Thomas Eje
364502,Astrid Elbek,Astrid Elbek
109981,Jan Elhøj,Jan Elhøj
309679,Mogens Ellegaard,Mogens Ellegaard
178829,Michael Elo,Michael Elo
548570,Lars Bo Enselmann,Lars Bo Enselmann
413142,Søren Eppler,Søren Eppler
1022982,Caspar Eric,Caspar Eric
720654,Peter Erling,Peter Erling
766998,Anders Errboe,Anders Errboe
445305,Eumig & Chinon,Eumig & Chinon
755772,Bo Evers,Bo Evers
396045,EX PMX,EX PMX
985107,Leif Falk,Leif Falk
1044301,Bo Feierskov,Bo Feierskov
41491,Søs Fenger,Søs Fenger
321456,Ole Fick,Ole Fick
949714,Arnoldus de Fine,Arnoldus de Fine
409943,Marie Fisker,Marie Fisker
371146,Erik Frederiksen,Erik Frederiksen
418479,Fredski,Fredski
148155,Ebbe Frej,Ebbe Frej
413246,Jakob Freud-Magnus,Jakob Freud-Magnus
468878,Michaela Fukačová,Michaela Fukačová
450606,Johannes Gammelby,Johannes Gammelby
377524,Asger Møller Garp,Asger Møller Garp
479456,Mikkel Engel Gemzøe,Mikkel Engel Gemzøe
785030,Dorthe Gerlach,Dorthe Gerlach
240241,Sanne Gottlieb,Sanne Gottlieb
451015,Nikolaj Grandjean,Nikolaj Grandjean
1014696,Axel Emil Guldbrandsen,Axel Emil Guldbrandsen
703417,Jann Guldhammer,Jann Guldhammer
1161696,Mia Guldhammer,Mia Guldhammer
407900,Stunn Gunn (multikunstner),Stunn Gunn
499904,Eddie Haircut,Eddie Haircut
141227,Halfdan E,Halfdan E
105203,Henrik Hall,Henrik Hall
143304,Martin Hall,Martin Hall
664579,Ham Der Hasse,Ham Der Hasse
965804,Søren Hammerlund,Søren Hammerlund
445140,Morten Hampenberg,Morten Hampenberg
520601,Ole Højer Hansen,Ole Højer Hansen
144363,Niels Harrit,Niels Harrit
196671,Frank Hasselstroem,Frank Hasselstroem
351427,John Hatting (musiker),John Hatting
51228,Jacob Haugaard,Jacob Haugaard
800052,Robert Hauschildt,Robert Hauschildt
327669,Christian Have,Christian Have
668334,Rune Hedeman,Rune Hedeman
258068,Rasmus Heinsen,Rasmus Heinsen
244916,Andreas Hemmeth,Andreas Hemmeth
853601,Kris Herman,Kris Herman
787171,Lucas Tuan Minh Hoang,Lucas Tuan Minh Hoang
402127,Ste van Holm,Ste van Holm
165233,Hans Holten Hansen,Hans Holten Hansen
1089427,Kim Hyttel,Kim Hyttel
917301,Mikkel Håkonsson,Mikkel Håkonsson
497997,Camilla Høiby,Camilla Høiby
1041388,Emma Hørlyck,Emma Hørlyck
412939,Martin Høybye,Martin Høybye
978672,Icekiid,Icekiid
1126652,Laura Illeborg,Laura Illeborg
394424,Jan Irhøj,Jan Irhøj
1000589,Søren Jacobsen (musiker),Søren Jacobsen
177597,Jonny Jakobsen,Jonny Jakobsen
1036462,Jamaika,Jamaika
117941,Klaus Bau Jensen,Klaus Bau Jensen
684755,Ole Jensen (musiker),Ole Jensen
548179,B-Joe Johansen,B-Joe Johansen
988716,Torben Johansen (musiker),Torben Johansen
510266,Christian Juncker,Christian Juncker
822322,Lars Juul,Lars Juul
512642,Henrik Juul-Pedersen,Henrik Juul-Pedersen
159076,Nis P. Jørgensen,Nis P. Jørgensen
149562,Simon Jul Jørgensen,Simon Jul Jørgensen
233277,Hadi Ka-koush,Hadi Ka-koush
1056002,Kaizer,Kaizer
530277,Kaka (rapper),Kaka
858350,Ejnar Kampp,Ejnar Kampp
423124,Anja Kickbusch,Anja Kickbusch
