title,textlist
Sir Henry & His Butlers,"['sir', 'henry', 'amp', 'his', 'butlers', 'er', 'en', 'pigtrådsrockpopgruppe', 'som', 'blev', 'dannet', 'i', 'sommeren', 'i', 'københavn', 'danmark', 'gruppen', 'er', 'mest', 'kendt', 'for', 'sine', 'frontfigurer', 'ole', 'bredahl', 'født', 'juli', 'og', 'specielt', 'tommy', 'seebach', 'samt', 'sangen', 'lets', 'go', 'kendetegnet', 'for', 'gruppen', 'har', 'været', 'ole', 'bredahl', 'som', 'organisator', 'hvorimod', 'den', 'restende', 'del', 'af', 'sir', 'henry', 'and', 'his', 'butlers', 'har', 'været', 'skiftet', 'ud', 'med', 'nogle', 'års', 'mellemrum', 'siden', 'gruppens', 'fødsel']"
Skagarack,"['skagarack', 'er', 'et', 'dansk', 'rockband', 'der', 'kommer', 'fra', 'kolding', 'bandet', 'udgav', 'sit', 'første', 'album', 'i', 'hvor', 'de', 'hittede', 'med', 'im', 'alone', 'de', 'har', 'udgivet', 'fire', 'albums', 'og', 'spiller', 'rockmusik', 'med', 'elementer', 'fra', 'melodisk', 'heavy', 'rock', 'karakteristisk', 'for', 'bandet', 'er', 'at', 'de', 'altid', 'har', 'haft', 'et', 'højt', 'spilleteknisk', 'niveaukilde', 'mangler', 'bandet', 'opnåede', 'i', 'pladekontrakt', 'med', 'polydor', 'der', 'stod', 'for', 'udgivelsen', 'af', 'bandets', 'debutalbum', 'skagarack', 'der', 'var', 'indspillet', 'i', 'københavn', 'og', 'london', 'albummet', 'blev', 'udgivet', 'i', 'juli', 'og', 'solgte', 'ca', 'eksemplarer', 'i', 'danmark', 'samme', 'måned', 'optrådte', 'skagarack', 'på', 'orange', 'scene', 'på', 'roskilde', 'festival', 'hvor', 'bandet', 'lukkede', 'festivalen', 'samme', 'sommer', 'turnerede', 'bandet', 'i', 'england', 'hvor', 'de', 'bla', 'spillede', 'på', 'reading', 'festival', 'og', 'the', 'marquee', 'club', 'i', 'modtog', 'bandet', 'en', 'grammy', 'for', 'albummet', 'a', 'slice', 'of', 'heaven', 'i', 'kategorien', 'årets', 'danske', 'heavyrock', 'udgivelse', 'bandet', 'opnåede', 'en', 'vis', 'succes', 'i', 'danmark', 'og', 'i', 'udlandet', 'med', 'bla', 'im', 'alone', 'anytime', 'anywhere', 'og', 'hungry', 'for', 'a', 'game', 'gruppens', 'indspilninger', 'er', 'optaget', 'på', 'opsamlingsalbummene', 'i', 'serien', 'stærke', 'danske', 'hits', 'bandet', 'der', 'aldrig', 'fik', 'sit', 'helt', 'store', 'gennembrud', 'gik', 'i', 'opløsning', 'omkring', 'men', 'blev', 'gendannet', 'næsten', 'i', 'original', 'besætning', 'til', 'esbjerg', 'rock', 'festival', 'i', 'hvor', 'de', 'bla', 'optrådte', 'med', 'andre', 'er', 'ikoner', 'som', 'foreigner', 'europe', 'rick', 'astley', 'bananarama', 'mfl', 'keyboardspiller', 'tommy', 'thiel', 'rasmussen', 'er', 'i', 'dag', 'som', 'sanger', 'del', 'af', 'gruppen', 'neighbours', 'der', 'har', 'base', 'i', 'ansager', 'studiemusiker', 'lars', 'daugaard', 'trommeslager', 'var', 'også', 'tilknyttet', 'bandet', 'på', 'et', 'tidspunkt']"
Skousen & Ingemann,"['skousen', 'amp', 'ingemann', 'var', 'et', 'dansk', 'rockband', 'der', 'blev', 'dannet', 'i', 'i', 'københavn', 'bandet', 'var', 'fra', 'starten', 'inspireret', 'af', 'gamle', 'danske', 'folkeviser', 'deres', 'første', 'udgivelse', 'var', 'en', 'videreførelse', 'af', 'eik', 'skaløes', 'ånd', 'fra', 'steppeulvene', 'begge', 'orkestre', 'er', 'meget', 'typiske', 'for', 'hippietiden', 'ved', 'en', 'jubilæumskoncert', 'niels', 'skousen', 'år', 'i', 'dansk', 'rock', 'markerede', 'niels', 'skousen', 'at', 'det', 'var', 'år', 'siden', 'at', 'han', 'debuterede', 'som', 'komponist', 'og', 'tekstforfatter', 'med', 'herfra', 'hvor', 'vi', 'står', 'niels', 'skousen', 'har', 'skrevet', 'tekst', 'og', 'musik', 'til', 'alle', 'sange', 'på', 'albummet', 'skousen', 'amp', 'ingemann', 'spillede', 'sæt', 'for', 'et', 'udsolgt', 'hus', 'i', 'vega', 'i', 'københavn', 'i', 'sæt', 'gik', 'niels', 'skousen', 'på', 'scenen', 'med', 'nyere', 'sange', 'og', 'nyt', 'band', 'koncerten', 'niels', 'skousen', 'år', 'i', 'dansk', 'rock', 'er', 'udgivet', 'på', 'dvd', 'og', 'cd', 'anmeldelserne', 'af', 'koncerten', 'var', 'overstrømmende', 'positive', 'herfra', 'hvor', 'vi', 'står', 'er', 'inkluderet', 'på', 'udgivelsen', 'dansk', 'rock', 'historie', 'vol', 'ii']"
Skullclub,"['skullclub', 'er', 'et', 'dansk', 'punkrockband', 'dannet', 'i', 'gruppen', 'består', 'af', 'troels', 'bjorholm', 'vokal', 'kristian', 'klærke', 'lead', 'guitar', 'andreas', 'steinmeyer', 'bas', 'ali', 'jablonowsky', 'guitar', 'christoffer', 'skau', 'banjo', 'og', 'simon', 'møller', 'andersen', 'trommer', 'deres', 'debutplade', 'gamle', 'ar', 'og', 'nye', 'tænder', 'udkom', 'i', 'smækhugger', 'der', 'er', 'deres', 'seneste', 'udgivelse', 'udkom', 'i']"
Sods,"['sods', 'var', 'et', 'dansk', 'punkband', 'som', 'senere', 'skiftede', 'retning', 'og', 'blev', 'til', 'sort', 'sol', 'sods', 'der', 'var', 'aktive', 'var', 'et', 'af', 'de', 'mest', 'aktive', 'punkbands', 'på', 'den', 'tidligste', 'danske', 'punkscene', 'der', 'bla', 'udspillede', 'sig', 'omkring', 'spillestederne', 'rockmaskinen', 'saltlageret', 'og', 'brumleby', 'i', 'årene', 'sods', 'blev', 'dannet', 'i', 'august', 'og', 'debuterede', 'i', 'november', 'på', 'rødovre', 'statsskole', 'og', 'betegnes', 'ofte', 'som', 'danmarks', 'første', 'punkband', 'sods', 'debut', 'den', 'november', 'kl', 'i', 'en', 'fællestime', 'på', 'rødovre', 'statsskole', 'var', 'danmarks', 'første', 'punkkoncert', 'hvor', 'bandet', 'spillede', 'de', 'fire', 'numre', 'raf', 'police', 'never', 'talk', 'to', 'a', 'stranger', 'og', 'white', 'light', 'white', 'heat', 'sods', 'var', 'bla', 'inspireret', 'af', 'udenlandske', 'bands', 'som', 'the', 'clash', 'sex', 'pistols', 'ramones', 'suicide', 'og', 'television', 'og', 'efter', 'ca', 'hvor', 'de', 'langsomt', 'bevægede', 'sig', 'væk', 'fra', 'den', 'oprindelige', 'punkgenre', 'også', 'bla', 'af', 'postpunkbands', 'som', 'joy', 'division', 'og', 'pil', 'sods', 'var', 'en', 'udløber', 'af', 'bandet', 'suck', 'og', 'forsanger', 'steen', 'jørgensens', 'daværende', 'kæreste', 'og', 'danmarks', 'første', 'punker', 'camilla', 'høiby', 'fandt', 'på', 'bandnavnet', 'sods', 'bandet', 'havde', 'i', 'starten', 'deres', 'eget', 'punkfanzine', 'the', 'latest', 'crap', 'from', 'the', 'sods', 'der', 'senere', 'efter', 'flere', 'punkbands', 'kom', 'til', 'blev', 'til', 'det', 'bredere', 'favnende', 'punkfanzine', 'iklipsx', 'hvori', 'flere', 'af', 'sodsmedlemmerne', 'skrev', 'i', 'blev', 'sods', 'med', 'hjælp', 'fra', 'deres', 'manager', 'pierre', 'sales', 'signet', 'af', 'pladeselskabet', 'medley', 'og', 'i', 'februar', 'udkom', 'debutsinglen', 'television', 'sect', 'military', 'madness', 'og', 'debutalbummet', 'minutes', 'to', 'go', 'der', 'også', 'blev', 'udsendt', 'i', 'england', 'i', 'i', 'udkom', 'det', 'andet', 'og', 'sidste', 'sods', 'album', 'under', 'en', 'sort', 'sol', 'hvor', 'bandet', 'havde', 'en', 'mere', 'raffineret', 'musikalsk', 'tilgang', 'til', 'punken', 'i', 'hvor', 'den', 'oprindelige', 'punkscene', 'i', 'danmark', 'så', 'småt', 'begyndte', 'at', 'ebbe', 'ud', 'skiftede', 'sods', 'navn', 'til', 'sort', 'sol', 'for', 'at', 'markere', 'en', 'distanceren', 'til', 'den', 'deciderede', 'punkrock', 'genre']"
Sofamania,"['sofamania', 'var', 'et', 'dansk', 'undergrundsrockorkester', 'med', 'jacob', 'haugaard', 'som', 'forsanger', 'der', 'var', 'aktivt', 'i', 'erne', 'og', 'udgav', 'to', 'lper', 'sofamania', 'spillede', 'rock', 'og', 'folkemusik', 'med', 'politiske', 'og', 'sociale', 'budskaber', 'og', 'havde', 'desuden', 'et', 'særpræget', 'show', 'bandet', 'blev', 'af', 'nogle', 'også', 'betegnet', 'som', 'en', 'parodi', 'på', 'punk', 'de', 'mest', 'kendte', 'numre', 'fra', 'bandet', 'er', 'mit', 'hjem', 'det', 'har', 'intet', 'wc', 'og', 'brøndbyøster', 'sofamania', 'har', 'spillet', 'i', 'hele', 'danmark', 'bla', 'på', 'roskilde', 'festivalens', 'store', 'scene', 'i', 'samt', 'i', 'norge', 'og', 'i', 'sverige']"
Spids Nøgenhat (band),"['for', 'alternative', 'betydninger', 'se', 'spids', 'nøgenhat', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'spids', 'nøgenhat', 'spids', 'nøgenhat', 'er', 'et', 'dansk', 'psykedelisksyrerockband', 'gruppen', 'blev', 'oprindeligt', 'dannet', 'som', 'et', 'sideprojekt', 'i', 'af', 'henrik', 'hobbitten', 'klitstrøm', 'morten', 'aron', 'larsen', 'og', 'forsangeren', 'lorenzo', 'woodrose', 'bandet', 'udgav', 't', 'album', 'i', 'og', 'gik', 'derefter', 'i', 'hi', 'i', 'blev', 'bandet', 'genoprettet', 'med', 'anders', 'moody', 'guru', 'skjødt', 'og', 'anders', 'fuzz', 'daddy', 'grøn', 'i', 'optrådte', 'de', 'på', 'roskilde', 'festivalen', 'og', 'koncerten', 'blev', 'optaget', 'og', 'udgivet', 'året', 'efter', 'på', 'de', 'sidste', 'her', 'på', 'jorden', 'i', 'udsendte', 'de', 'singlen', 'lolland', 'falster', 'nummeret', 'blev', 'brugt', 'i', 'introen', 'til', 'på', 'røven', 'i', 'nakskov', 'i', 'ved', 'danish', 'music', 'awards', 'i', 'modtog', 'bandet', 'både', 'prisen', 'for', 'årets', 'danske', 'livenavn', 'og', 'årets', 'danske', 'rockudgivelse', 'for', 'albummet', 'kommer', 'med', 'fred']"
Spillemændene,"['spillemændene', 'var', 'en', 'dansk', 'folkrockgruppe', 'fra', 'aarhus', 'der', 'eksisterede', 'i', 'erne', 'de', 'blev', 'dannet', 'i', 'juni', 'under', 'navnet', 'de', 'fortabte', 'spillemænd', 'opkaldt', 'efter', 'william', 'heinesens', 'roman', 'af', 'samme', 'navn', 'men', 'blev', 'bedt', 'om', 'at', 'ændre', 'navn', 'da', 'de', 'fortabte', 'spillemænd', 'fra', 'københavn', 'udgav', 'et', 'album', 'i', 'slutnigen', 'af', 'gruppen', 'var', 'pionerer', 'inden', 'for', 'elektrisk', 'dansk', 'violinmusik', 'og', 'de', 'spillede', 'en', 'vigtig', 'rolle', 'i', 'opstarten', 'af', 'bookingbureauet', 'musikernes', 'kontakt', 'da', 'sven', 'foged', 'og', 'lars', 'hybel', 'fra', 'jackie', 'boo', 'flight', 'blev', 'en', 'del', 'af', 'gruppen', 'i', 'blev', 'musikken', 'mere', 'country', 'og', 'rockprægret', 'gruppen', 'var', 'opvarmningsband', 'for', 'fairport', 'convention', 'og', 'dr', 'hook', 'amp', 'the', 'medicine', 'show', 'de', 'spillede', 'på', 'roskilde', 'festival', 'og', 'turnerede', 'med', 'shit', 'amp', 'chanel', 'i', 'både', 'og', 'de', 'spillede', 'på', 'roskilde', 'festival', 'igen', 'i', 'og']"
Starfuckers,"['starfuckers', 'var', 'en', 'dansk', 'musikgruppe', 'bestående', 'af', 'ole', 'frø', 'kim', 'larsen', 'thomas', 'grue', 'stig', 'møller', 'jess', 'stæhr', 'ken', 'gudman', 'de', 'indspillede', 'livealbummet', 'vogt', 'dem', 'for', 'efterligninger', 'i', 'ryslinge', 'kro', 'og', 'på', 'multimusik', 'festivalen', 'i', 'silkeborg']"
Street Beat,"['street', 'beat', 'var', 'et', 'dansk', 'rockband', 'dannet', 'i', 'i', 'københavn', 'af', 'keyboardspilleren', 'og', 'komponisten', 'henrik', 'carlsen', 'og', 'bassisten', 'bo', 'møller', 'de', 'to', 'første', 'sangere', 'var', 'cæcilie', 'norby', 'og', 'nina', 'forsberg', 'desuden', 'var', 'kristian', 'skovgaard', 'lassen', 'trommer', 'lasse', 'riege', 'guitar', 'michael', 'andersen', 'tenor', 'sax', 'og', 'rolf', 'vedel', 'petersen', 'percussion', 'med', 'tidligt', 'i', 'bandets', 'besætning', 'i', 'skrev', 'street', 'beat', 'kontrakt', 'med', 'det', 'engelske', 'pladeselskab', 'steinar', 'records', 'der', 'bla', 'også', 'udgav', 'den', 'islandske', 'gruppe', 'mezzofortes', 'plader', 'street', 'beat', 'nåede', 'at', 'udgive', 'to', 'singler', 'in', 'love', 'og', 'rapnscratch', 'i', 'udgav', 'de', 'deres', 'første', 'album', 'gaga', 'jungle', 'land', 'som', 'dog', 'ikke', 'solgte', 'stort', 'bandet', 'spillede', 'på', 'mange', 'gymnasier', 'landet', 'over', 'og', 'optrådte', 'ofte', 'på', 'ernes', 'kendte', 'musiksteder', 'montmartre', 'i', 'nørregade', 'musikcafen', 'i', 'magstræde', 'og', 'i', 'aarhus', 'i', 'vestergade', 'de', 'spillede', 'desuden', 'på', 'øren', 'og', 'andre', 'store', 'udendørsarrangementer', 'i', 'fælledparken', 'charlottenlund', 'fort', 'og', 'gilleleje', 'festival', 'desuden', 'optrådte', 'de', 'flere', 'gange', 'i', 'dansk', 'tv', 'bla', 'med', 'en', 'direkte', 'livetransmitteret', 'koncert', 'fra', 'albertslund', 'i', 'den', 'bedste', 'sendetid', 'fredag', 'aften', 'on', 'the', 'rocks', 'de', 'optrådte', 'også', 'i', 'svensk', 'radio', 'med', 'en', 'liveoptagelse', 'fra', 'musikcafen', 'i', 'københavn', 'derefter', 'kom', 'blandt', 'andet', 'mikael', 'roup', 'mia', 'martinez', 'annlouise', 'mathiesen', 'morten', 'due', 'og', 'charlotte', 'vigel', 'med', 'i', 'bandet', 'bandet', 'gjorde', 'desuden', 'brug', 'af', 'en', 'tremands', 'hornsektion', 'som', 'gennem', 'tiderne', 'har', 'rummet', 'trompetisterne', 'henrik', 'bolberg', 'pedersen', 'claus', 'mott', 'henrik', 'beck', 'jan', 'glæsel', 'ole', 'hansen', 'og', 'jeppe', 'kaas', 'og', 'saxofonisterne', 'niels', 'macholm', 'thomas', 'hass', 'og', 'bobby', 'ricketts', 'i', 'udgav', 'henrik', 'carlsen', 'albummet', 'street', 'beat', 'revisited', 'hvor', 'mange', 'af', 'de', 'oprindelige', 'sange', 'blev', 'opdateret', 'i', 'nye', 'arrangementer', 'og', 'med', 'nye', 'tekster', 'henrik', 'carlsen', 'spillede', 'selv', 'alle', 'instrumenter', 'og', 'indspillede', 'albummet', 'i', 'sit', 'soveværelse']"
Swan Lee,"['for', 'alternative', 'betydninger', 'se', 'swan', 'lee', 'flertydig', 'se', 'også', 'artikler', 'som', 'begynder', 'med', 'swan', 'lee', 'swan', 'lee', 'er', 'et', 'dansk', 'indie', 'rockband', 'som', 'består', 'af', 'sangerinde', 'pernille', 'rosendahl', 'guitarist', 'jonas', 'struck', 'og', 'trommeslager', 'emil', 'jørgensen', 'swan', 'lee', 'har', 'udgivet', 'tre', 'album', 'på', 'deres', 'eget', 'pladeselskab', 'gogo', 'records', 'enter', 'swan', 'lee', 'og', 'the', 'garden', 'de', 'har', 'vundet', 'danmarks', 'radios', 'pprisen', 'og', 'er', 'især', 'kendt', 'for', 'singlerne', 'tomorrow', 'never', 'dies', 'love', 'will', 'keep', 'you', 'warm', 'og', 'i', 'dont', 'mind']"
Taggy Tones,"['taggy', 'tones', 'er', 'et', 'dansk', 'band', 'rockabillyband', 'bestående', 'af', 'af', 'emil', 'øelund', 'jakob', 'øelund', 'og', 'jess', 'møller', 'rasmussen']"
The Cliffters,"['the', 'cliffters', 'var', 'et', 'dansk', 'rockband', 'der', 'blev', 'dannet', 'i', 'med', 'johnny', 'reimar', 'som', 'forsanger', 'gruppens', 'første', 'pladeindspilning', 'var', 'som', 'backinggruppe', 'for', 'gruppen', 'xsøren', 'gruppens', 'debutudgivelse', 'var', 'how', 'wonderfull', 'to', 'know', 'og', 'den', 'nåede', 'førstepladsen', 'på', 'radio', 'mercurs', 'histliste', 'der', 'på', 'dette', 'tidspunkt', 'var', 'landets', 'eneste', 'radiohitliste', 'herefter', 'udkom', 'andet', 'album', 'og', 'bla', 'walk', 'on', 'by', 'og', 'django', 'sidstnævnte', 'modtog', 'gruppen', 'guldplade', 'for', 'i', 'instrumentalnummeret', 'django', 'er', 'solgt', 'som', 'single', 'i', 'lande', 'mens', 'noderne', 'er', 'solgt', 'til', 'lande', 'gruppen', 'optrådte', 'med', 'ens', 'hvide', 'guitarer', 'lilla', 'habitter', 'og', 'laksko', 'i', 'medvirkede', 'the', 'cliffters', 'i', 'cirkusrevyen', 'under', 'en', 'koncert', 'i', 'kb', 'hallen', 'fik', 'forsangeren', 'reimar', 'stød', 'fra', 'sin', 'elguitar', 'og', 'måtte', 'indlægges', 'i', 'en', 'periode', 'efter', 'denne', 'hændelse', 'turde', 'han', 'ikke', 'længere', 'spille', 'elguitar', 'og', 'han', 'påbegyndte', 'en', 'solokarriere', 'the', 'cliffters', 'fortsatte', 'et', 'par', 'år', 'med', 'skiftende', 'forsangere', 'for', 'herefter', 'at', 'blive', 'opløst', 'omkring', 'i', 'blev', 'gruppen', 'samlet', 'igen', 'for', 'at', 'spille', 'i', 'tivolis', 'vise', 'vers', 'hus', 'siden', 'da', 'har', 'gruppen', 'spillet', 'sammen', 'heriblandt', 'på', 'færgen', 'sjælland', 'hvor', 'de', 'har', 'optrådt', 'mere', 'end', 'gange']"
The Poets,"['der', 'er', 'for', 'få', 'eller', 'ingen', 'kildehenvisninger', 'i', 'denne', 'artikel', 'hvilket', 'er', 'et', 'problem', 'du', 'kan', 'hjælpe', 'ved', 'at', 'angive', 'troværdige', 'kilder', 'til', 'de', 'påstande', 'som', 'fremføres', 'i', 'artiklen', 'the', 'poets', 'var', 'et', 'dansk', 'rockband', 'der', 'havde', 'deres', 'storhedstid', 'i', 'slutningen', 'af', 'erne', 'og', 'begyndelsen', 'af', 'erne', 'bandet', 'bestod', 'af', 'multiinstrumentalist', 'sanger', 'og', 'komponist', 'troels', 'bech', 'og', 'sanger', 'og', 'lyriker', 'lars', 'k', 'andersen', 'bandet', 'hed', 'oprindeligt', 'poets', 'of', 'the', 'signature', 'men', 'navnet', 'blev', 'forkortet', 'til', 'the', 'poets', 'i', 'oktober', 'da', 'de', 'resterende', 'medlemmer', 'andersen', 'bech', 'og', 'perkussionist', 'flemming', 'borby', 'gik', 'sammen', 'med', 'sangeren', 'birgitte', 'bang', 'og', 'bassist', 'mads', 'frederik', 'under', 'indspilningen', 'af', 'debutalbummet', 'four', 'days', 'in', 'florence', 'i', 'begyndelsen', 'af', 'forlod', 'borby', 'bandet', 'og', 'blev', 'erstattet', 'af', 'først', 'susanne', 'unruh', 'og', 'derefter', 'colin', 'wilkinson', 'keyboardist', 'torben', 'engberg', 'var', 'også', 'med', 'da', 'albummet', 'blev', 'frigivet', 'til', 'blandede', 'anmeldelser', 'og', 'det', 'dårlige', 'salg', 'fik', 'bang', 'og', 'frederik', 'til', 'at', 'forlade', 'gruppen', 'i', 'december', 'samme', 'år', 'de', 'blev', 'erstattet', 'af', 'sangeren', 'aud', 'wilken', 'og', 'bassist', 'nikolaj', 'blow', 'davidsen', 'i', 'januar', 'og', 'bandet', 'turnerede', 'med', 'denne', 'konstellation', 'i', 'østtyskland', 'hele', 'foråret', 'samme', 'år', 'og', 'i', 'sovjetunionen', 'marts', 'i', 'forsommeren', 'blev', 'wilkinson', 'og', 'engberg', 'erstattet', 'af', 'niclas', 'tange', 'og', 'jens', 'nørremølle', 'optagelsen', 'af', 'det', 'andet', 'album', 'the', 'poets', 'fandt', 'sted', 'i', 'sommeren', 'men', 'inden', 'optagelserne', 'var', 'afsluttet', 'havde', 'wilken', 'forladt', 'bandet', 'sanger', 'sanne', 'gottlieb', 'blev', 'hentet', 'som', 'erstatning', 'og', 'hun', 'genindspillede', 'det', 'meste', 'af', 'wilkens', 'vokal', 'albummet', 'blev', 'udgivet', 'i', 'i', 'flere', 'europæiske', 'lande', 'og', 'fik', 'gode', 'anmeldelser', 'i', 'frankrig', 'og', 'england', 'og', 'i', 'danmark', 'blev', 'det', 'det', 'kommercielle', 'gennembrud', 'for', 'bandet', 'i', 'begyndelsen', 'af', 'havde', 'guitaristkeyboardist', 'frithjof', 'toksvig', 'og', 'bassist', 'john', 'krog', 'hansen', 'erstattet', 'nørremølle', 'og', 'davidsen', 'i', 'det', 'der', 'skulle', 'blive', 'den', 'endelige', 'opstilling', 'efter', 'en', 'udsolgt', 'turn', 'i', 'danmark', 'og', 'omfattende', 'turn', 'i', 'england', 'herunder', 'som', 'opvarmning', 'for', 'pop', 'will', 'eat', 'itself', 'begyndte', 'bandet', 'at', 'optage', 'deres', 'tredje', 'album', 'i', 'efteråret', 'welcome', 'to', 'the', 'heathen', 'reserve', 'blev', 'udgivet', 'i', 'november', 'i', 'danmark', 'og', 'fik', 'gode', 'anmeldelser', 'men', 'manglende', 'samarbejde', 'mellem', 'tre', 'forskellige', 'pladeselskaber', 'hindrede', 'en', 'koordineret', 'international', 'lancering', 'frustreret', 'faldt', 'the', 'poets', 'langsomt', 'fra', 'hinanden', 'i', 'løbet', 'af', 'gottlieb', 'forlod', 'bandet', 'efter', 'en', 'sidste', 'koncert', 'på', 'dette', 'års', 'roskilde', 'festival', 'og', 'inden', 'en', 'ny', 'sanger', 'var', 'blevet', 'rekrutteret', 'tog', 'toksvig', 'også', 'sin', 'afgang', 'da', 'kernen', 'i', 'bech', 'og', 'andersen', 'venner', 'siden', 'gymnasiet', 'blev', 'uvenner', 'lukkede', 'bandet', 'helt', 'ned', 'samme', 'måned', 'blev', 'welcome', 'to', 'the', 'heathen', 'reserve', 'endelig', 'frigivet', 'i', 'england', 'til', 'gode', 'anmeldelser', 'men', 'med', 'dårligt', 'salg', 'historien', 'gentog', 'sig', 'i', 'januar', 'da', 'albummet', 'også', 'blev', 'udgivet', 'i', 'usa', 'under', 'navnet', 'the', 'sealand', 'poets', 'selvom', 'det', 'blev', 'ugens', 'album', 'i', 'billboard', 'magazine', 'var', 'historien', 'om', 'the', 'poets', 'afsluttet', 'de', 'forskellige', 'medlemmer', 'har', 'siden', 'haft', 'betydelig', 'succes', 'inden', 'for', 'dansk', 'musik', 'og', 'i', 'den', 'skandinaviske', 'film', 'og', 'tvindustri', 'som', 'filmkomponister', 'og', 'manusforfattere']"
The Shout,"['the', 'shout', 'var', 'en', 'dansk', 'rockgruppe', 'bestående', 'af', 'johannes', 'andersen', 'forsanger', 'søren', 'mikkelsen', 'trommer', 'christer', 'båge', 'guitar', 'morten', 'buchholtz', 'keys', 'og', 'dominic', 'gale', 'bas', 'efter', 'deres', 'første', 'album', 'i', 'overtog', 'joakim', 'øster', 'pladsen', 'som', 'bassist', 'the', 'shout', 'havde', 'især', 'succes', 'med', 'deres', 'første', 'album', 'my', 'child', 'som', 'fik', 'gode', 'anmeldelser', 'og', 'meget', 'blev', 'spillet', 'meget', 'i', 'radioen', 'i', 'deres', 'anmeldelse', 'af', 'albummet', 'skrev', 'det', 'internationale', 'magasin', 'music', 'amp', 'media', 'the', 'title', 'track', 'means', 'u', 'meets', 'the', 'stone', 'roses', 'or', 'dublin', 'meets', 'manchester', 'could', 'this', 'be', 'european', 'musical', 'unity', 'in', 'the', 'land', 'that', 'voted', 'against', 'the', 'maastrict', 'treaty', 'the', 'shout', 'turnerede', 'en', 'hel', 'del', 'og', 'optrådte', 'bla', 'på', 'midtfyns', 'festivalen', 'bandets', 'andet', 'album', 'so', 'high', 'som', 'udkom', 'i', 'var', 'også', 'anmelderrostkilde', 'mangler', 'og', 'nummeret', 'part', 'of', 'you', 'var', 'ugens', 'uundgåelige', 'på', 'dr', 'p', 'the', 'shout', 'spillede', 'dog', 'kun', 'relativt', 'få', 'koncerter', 'efter', 'udgivelsen', 'og', 'har', 'ikke', 'optrådt', 'siden']"
The William Blakes,"['the', 'william', 'blakes', 'er', 'et', 'dansk', 'band', 'the', 'william', 'blakes', 'udsendte', 'i', 'deres', 'anmelderroste', 'debutalbum', 'wayne', 'coyne', 'opkaldt', 'efter', 'the', 'flaming', 'lipsforsangeren', 'red', 'som', 'kastede', 'singler', 'som', 'secrets', 'of', 'the', 'state', 'og', 'science', 'is', 'religion', 'af', 'sig', 'alle', 'gruppens', 'plader', 'er', 'indspillet', 'i', 'gruppens', 'eget', 'studie', 'i', 'sverige', 'og', 'udkommer', 'på', 'the', 'william', 'blakes', 'eget', 'label', 'speed', 'of', 'sound', 'dear', 'unknown', 'friend', 'udkom', 'd', 'februar', 'og', 'd', 'september', 'udkom', 'bandets', 'tredje', 'plade', 'the', 'way', 'of', 'the', 'warrior', 'hvis', 'første', 'single', 'caves', 'and', 'light', 'var', 'ps', 'uundgåelige', 'i', 'juli', 'albummet', 'music', 'wants', 'to', 'be', 'free', 'udkom', 'allerede', 'i', 'februar', 'og', 'første', 'single', 'the', 'light', 'plane', 'to', 'spain', 'blev', 'ligeledes', 'ps', 'uundgåelige', 'bandet', 'har', 'siden', 'det', 'første', 'album', 'fået', 'et', 'nyt', 'medlem', 'bo', 'rande', 'som', 'tidligere', 'har', 'været', 'en', 'af', 'drivkræfterne', 'bag', 'blue', 'foundation', 'og', 'indspillet', 'plader', 'med', 'bla', 'mew', 'og', 'efterklang', 'the', 'willam', 'blakes', 'består', 'udover', 'bo', 'rande', 'af', 'kristian', 'leth', 'og', 'fridolin', 'og', 'frederik', 'nordsø', 'leth', 'og', 'nordsø', 'har', 'også', 'gang', 'hver', 'deres', 'soloprojekter', 'og', 'både', 'fridolin', 'og', 'frederik', 'har', 'desuden', 'produceret', 'for', 'flere', 'danske', 'og', 'udenlandske', 'kunstnere', 'bandet', 'blev', 'i', 'tildelt', 'kronprinsparrets', 'stjernedryspris', 'samme', 'år', 'blev', 'de', 'udnævnt', 'til', 'årets', 'gruppe', 'og', 'fik', 'prisen', 'for', 'årets', 'rockalbum', 'ved', 'danish', 'music', 'awards']"
Tiger Tunes,"['tiger', 'tunes', 'var', 'et', 'populært', 'indiepopband', 'fra', 'danmark', 'gruppen', 'blev', 'dannet', 'i', 'og', 'de', 'distribuerede', 'oprindeligt', 'deres', 'musik', 'via', 'internettet', 'hvor', 'de', 'udgav', 'to', 'singler', 'fra', 'deres', 'album', 'forget', 'about', 'the', 'stupid', 'rocket', 'idea', 'i', 'spillede', 'de', 'på', 'adskillige', 'musikfestivaller', 'i', 'danmark', 'heriblandt', 'roskilde', 'festival', 'midtfyns', 'festival', 'og', 'smukfest', 'i', 'modtog', 'de', 'prisen', 'som', 'årets', 'håb', 'ved', 'årets', 'steppeulv', 'på', 'trods', 'af', 'denne', 'anerkendelse', 'formåede', 'gruppens', 'senere', 'udgivelser', 'ikke', 'at', 'slå', 'igennem', 'i', 'meldte', 'gruppen', 'ud', 'at', 'de', 'havde', 'sat', 'projektet', 'på', 'pause', 'og', 'i', 'meldte', 'de', 'ud', 'at', 'det', 'var', 'helt', 'slut', 'med', 'bandet']"
